class_id,class_name,iou,dice,method,display_name
2,pale_pink,0.4493374605449749,0.6200591273974476,berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours)
3,pink_turns_purple,0.490247677048677,0.6579412061484645,berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours)
4,fully_ripe,0.6383637689859731,0.7792698801940346,berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours)
5,over_ripe,0.1288083576443718,0.2282200637018185,berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours)
0,background,0.9866405782684912,0.993275370553866,berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours)
1,green_immature,0.6387655281430782,0.7795691539434292,berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours)
2,pale_pink,0.4476722806501434,0.6184718553139605,berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours)
3,pink_turns_purple,0.4458972796276802,0.616775874621604,berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours)
4,fully_ripe,0.6403313022046642,0.7807341130953679,berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours)
5,over_ripe,0.1348781623740103,0.2376962864310713,berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours)
0,background,0.986492979184698,0.9932005695681616,berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours)
1,green_immature,0.6397836055523568,0.780326871650662,berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours)
2,pale_pink,0.4670839708132282,0.6367515153946043,berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours)
3,pink_turns_purple,0.4826215113590081,0.6510380534228526,berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours)
4,fully_ripe,0.6413603827950821,0.7814985539042996,berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours)
5,over_ripe,0.1321993142450015,0.2335265753683266,berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours)
0,background,0.9865401579337424,0.9932244802540224,berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours)
1,green_immature,0.6408080922036058,0.781088410336885,berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours)
2,pale_pink,0.4690823747486751,0.6386059526837955,berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours)
3,pink_turns_purple,0.4812220235868014,0.6497635275790932,berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours)
4,fully_ripe,0.6424013856951184,0.7822708764011825,berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours)
5,over_ripe,0.1320659016185568,0.2333183985662623,berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours)
