method,display_name,true_class,pred_class,count
dinov2_vitb14_linear,DINOv2 ViT-B/14 + Linear,pale_pink,fully_ripe,12
dinov2_vitb14_linear,DINOv2 ViT-B/14 + Linear,pale_pink,green_immature,43
dinov2_vitb14_linear,DINOv2 ViT-B/14 + Linear,pale_pink,pink_turns_purple,25
dinov2_vitb14_linear,DINOv2 ViT-B/14 + Linear,pink_turns_purple,fully_ripe,40
dinov2_vitb14_linear,DINOv2 ViT-B/14 + Linear,pink_turns_purple,green_immature,31
dinov2_vitb14_linear,DINOv2 ViT-B/14 + Linear,pink_turns_purple,over_ripe,6
dinov2_vitb14_linear,DINOv2 ViT-B/14 + Linear,pink_turns_purple,pale_pink,5
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),fully_ripe,green_immature,170
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),fully_ripe,over_ripe,129
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),fully_ripe,pale_pink,3
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),fully_ripe,pink_turns_purple,23
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),green_immature,fully_ripe,61
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),green_immature,over_ripe,85
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),green_immature,pale_pink,6
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),green_immature,pink_turns_purple,10
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),over_ripe,fully_ripe,45
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),over_ripe,green_immature,29
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),over_ripe,pale_pink,1
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),over_ripe,pink_turns_purple,6
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),pale_pink,fully_ripe,1
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),pale_pink,green_immature,40
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),pale_pink,over_ripe,3
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),pale_pink,pink_turns_purple,20
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),pink_turns_purple,fully_ripe,21
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),pink_turns_purple,green_immature,30
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),pink_turns_purple,over_ripe,10
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),pink_turns_purple,pale_pink,11
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),fully_ripe,green_immature,40
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),fully_ripe,over_ripe,70
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),fully_ripe,pink_turns_purple,10
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),green_immature,fully_ripe,47
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),green_immature,over_ripe,5
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),green_immature,pale_pink,15
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),over_ripe,fully_ripe,85
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),over_ripe,green_immature,4
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),over_ripe,pink_turns_purple,5
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),pale_pink,fully_ripe,9
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),pale_pink,green_immature,18
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),pale_pink,over_ripe,2
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),pale_pink,pink_turns_purple,24
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),pink_turns_purple,fully_ripe,34
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),pink_turns_purple,green_immature,7
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),pink_turns_purple,over_ripe,2
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),pink_turns_purple,pale_pink,17
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),fully_ripe,green_immature,65
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),fully_ripe,over_ripe,134
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),fully_ripe,pale_pink,3
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),fully_ripe,pink_turns_purple,37
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),green_immature,fully_ripe,45
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),green_immature,over_ripe,15
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),green_immature,pale_pink,21
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),green_immature,pink_turns_purple,7
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),over_ripe,fully_ripe,55
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),over_ripe,green_immature,5
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),over_ripe,pink_turns_purple,7
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),pale_pink,fully_ripe,5
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),pale_pink,green_immature,23
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),pale_pink,pink_turns_purple,20
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),pink_turns_purple,fully_ripe,13
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),pink_turns_purple,green_immature,9
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),pink_turns_purple,over_ripe,12
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),pink_turns_purple,pale_pink,13
berrymtl_centerdet,BerryMTL-CenterDet (ours),fully_ripe,green_immature,35
