method,display_name,image_index,filename,image_path,tp,fp,fn,gt,pred,precision50,recall50,failure_score
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),17,20260430_105607.jpg,.\data\combined_514\images\20260430_105607.jpg,24,29,9,33,53,0.4528301886792453,0.7272727272727273,38
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),18,20260430_105707.jpg,.\data\combined_514\images\20260430_105707.jpg,25,43,8,33,68,0.36764705882352944,0.7575757575757576,51
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),19,20260430_105805.jpg,.\data\combined_514\images\20260430_105805.jpg,17,49,1,18,66,0.25757575757575757,0.9444444444444444,50
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),20,20260430_105937.jpg,.\data\combined_514\images\20260430_105937.jpg,44,25,9,53,69,0.6376811594202898,0.8301886792452831,34
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),21,20260430_110121.jpg,.\data\combined_514\images\20260430_110121.jpg,26,45,3,29,71,0.36619718309859156,0.896551724137931,48
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),22,20260430_110309.jpg,.\data\combined_514\images\20260430_110309.jpg,28,36,10,38,64,0.4375,0.7368421052631579,46
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),23,20260430_110337.jpg,.\data\combined_514\images\20260430_110337.jpg,15,30,7,22,45,0.3333333333333333,0.6818181818181818,37
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),24,20260430_110428.jpg,.\data\combined_514\images\20260430_110428.jpg,12,29,10,22,41,0.2926829268292683,0.5454545454545454,39
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),25,20260430_110502.jpg,.\data\combined_514\images\20260430_110502.jpg,15,43,1,16,58,0.25862068965517243,0.9375,44
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),26,20260430_110635.jpg,.\data\combined_514\images\20260430_110635.jpg,25,50,5,30,75,0.3333333333333333,0.8333333333333334,55
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),27,20260430_110647.jpg,.\data\combined_514\images\20260430_110647.jpg,45,23,15,60,68,0.6617647058823529,0.75,38
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),28,20260430_110740.jpg,.\data\combined_514\images\20260430_110740.jpg,24,31,6,30,55,0.43636363636363634,0.8,37
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),29,20260430_110757.jpg,.\data\combined_514\images\20260430_110757.jpg,16,26,5,21,42,0.38095238095238093,0.7619047619047619,31
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),30,20260430_110820.jpg,.\data\combined_514\images\20260430_110820.jpg,2,40,2,4,42,0.047619047619047616,0.5,42
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),31,20260430_111052.jpg,.\data\combined_514\images\20260430_111052.jpg,10,37,1,11,47,0.2127659574468085,0.9090909090909091,38
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),32,20260430_111109.jpg,.\data\combined_514\images\20260430_111109.jpg,29,33,6,35,62,0.46774193548387094,0.8285714285714286,39
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),33,20260430_111122.jpg,.\data\combined_514\images\20260430_111122.jpg,26,47,8,34,73,0.3561643835616438,0.7647058823529411,55
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),34,20260430_111129.jpg,.\data\combined_514\images\20260430_111129.jpg,41,24,15,56,65,0.6307692307692307,0.7321428571428571,39
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),35,20260430_111135.jpg,.\data\combined_514\images\20260430_111135.jpg,38,41,11,49,79,0.4810126582278481,0.7755102040816326,52
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),36,20260430_111203.jpg,.\data\combined_514\images\20260430_111203.jpg,10,39,0,10,49,0.20408163265306123,1.0,39
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),37,20260430_111251.jpg,.\data\combined_514\images\20260430_111251.jpg,21,50,3,24,71,0.29577464788732394,0.875,53
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),38,20260430_111306.jpg,.\data\combined_514\images\20260430_111306.jpg,41,36,12,53,77,0.5324675324675324,0.7735849056603774,48
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),39,20260430_111434.jpg,.\data\combined_514\images\20260430_111434.jpg,33,67,25,58,100,0.33,0.5689655172413793,92
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),40,20260430_111507.jpg,.\data\combined_514\images\20260430_111507.jpg,39,39,6,45,78,0.5,0.8666666666666667,45
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),41,20260430_111630.jpg,.\data\combined_514\images\20260430_111630.jpg,29,64,31,60,93,0.3118279569892473,0.48333333333333334,95
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),42,20260430_111919.jpg,.\data\combined_514\images\20260430_111919.jpg,3,81,0,3,84,0.03571428571428571,1.0,81
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),43,20260430_111941.jpg,.\data\combined_514\images\20260430_111941.jpg,5,36,0,5,41,0.12195121951219512,1.0,36
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),44,20260430_111952.jpg,.\data\combined_514\images\20260430_111952.jpg,15,34,11,26,49,0.30612244897959184,0.5769230769230769,45
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),45,20260430_112049.jpg,.\data\combined_514\images\20260430_112049.jpg,20,44,4,24,64,0.3125,0.8333333333333334,48
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),46,20260430_112103.jpg,.\data\combined_514\images\20260430_112103.jpg,21,40,2,23,61,0.3442622950819672,0.9130434782608695,42
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),47,20260430_112241.jpg,.\data\combined_514\images\20260430_112241.jpg,21,25,19,40,46,0.45652173913043476,0.525,44
